,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score,error
17,24,5,1.4740942308186675e-05,5,1.4089597626287756e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
18,28,5,4.783088509171085e-06,5,1e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
19,168,5,3.6970648850923708e-06,5,2.8890875609514056e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
20,169,5,0.04710087689498781,5,1.0294964685548578e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
21,170,5,4.294562425574545e-05,5,2.328022454150603e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
22,171,5,0.0018480188352673294,5,2.549800186763819e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
23,172,5,9.57911157288781e-07,5,6.6467167676933166e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
24,173,5,0.00012054719550183944,5,6.01647961671913e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
25,174,5,8.324280493439868e-06,5,2.948190538516722e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
26,175,5,1.1552250584721527e-07,5,3.089370882938355e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
27,32,5,0.00045535999451601784,5,1e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
28,36,5,0.05,5,5.2366521390636e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
29,160,5,1.1310223013338281e-06,5,4.7425110162890436e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
30,161,5,6.145494904913793e-05,5,1.656231500333479e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
31,162,5,0.000490401239033412,5,2.828920934752992e-05,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
32,163,5,0.041690198297718965,5,8.614044991191235e-07,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
33,164,5,0.05,5,7.47740809877936e-06,mse,auto,False,0.6749940161973658,r2_score,maximize,0.7762832515278486,
