,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score,error
28,160,5,0.000671643459857108,10,1.8255552431272835e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
29,161,5,2.735063483796405e-07,10,7.782343187595133e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
30,162,5,0.0020343870662175986,10,1.6428533847675028e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
31,163,5,1.0779568632189835e-07,10,1.7605421461849295e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
32,164,5,2.3007576084932113e-07,10,1.3269006326821234e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
33,165,5,6.306900720097699e-05,10,3.6928797760409085e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
34,166,5,7.610913821125516e-05,10,1.4791877777628277e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
35,167,5,0.0002475838687638917,10,5.104167068277259e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
36,40,5,9.809082478780386e-05,10,1e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
37,152,5,0.05,10,4.26588861909879e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
38,153,5,8.734372191030558e-05,10,5.118845635928413e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
39,154,5,1e-07,10,3.516881747692841e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
40,155,5,0.05,10,5.085537082345715e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
41,156,5,1e-07,10,1e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
42,157,5,3.004548954356803e-06,10,1.632567340870014e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
43,158,5,1e-07,10,8.83686065181504e-07,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
44,159,5,3.0491524410331793e-06,10,1.957926328418645e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
45,48,5,1e-07,10,3.6921499115693684e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
46,52,5,0.05,10,1.0064323690291775e-05,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
47,53,5,0.05,10,1.5216231813488775e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
48,55,5,9.389340371148624e-05,10,8.620180668726541e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
49,144,5,0.05,10,6.066677001604069e-06,huber,auto,False,0.8694317071455056,r2_score,maximize,0.8726509217621446,
