,trial_no,max_depth,imp_threshold,min_samples_split,min_impurity_decrease,criterium,n_steps,adaptive,train_score,metric,opt_direction,test_score,error
54,151,5,3.3782470068932506e-06,2,2.503393255068449e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
55,59,5,4.9344024402894934e-05,2,4.569158958703229e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
56,60,5,3.7444055746359646e-05,2,1.6978853312205743e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
57,64,5,2.8962325649448554e-05,2,3.03461167720754e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
58,69,5,1e-07,2,3.126941162607199e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
59,70,5,1e-07,2,2.2818781086193084e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
60,136,5,4.2157580929213144e-05,2,2.2241352835772941e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
61,137,5,2.9405746455069273e-06,2,1.4037575232638188e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
62,138,5,1.0540566731399855e-07,2,4.5483538881446163e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
63,139,5,0.006487254509704535,2,7.39209616458137e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
64,140,5,0.0003854350205439802,2,1e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
65,141,5,0.04999999999999994,2,3.187579705553283e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
66,142,5,0.05,2,6.5261027689851035e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
67,143,5,0.003401183996945347,2,2.249187735759636e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
68,74,5,0.05,2,5.312343083062124e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
69,75,5,0.05,2,2.4126533362909095e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
70,77,5,0.05,2,1.802181443450642e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
71,78,5,2.9288602646651554e-05,2,2.0503457646653768e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
72,79,5,1e-07,2,3.3147796313412653e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
73,81,5,0.05,2,8.92905495202267e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
74,82,5,8.918376309208867e-05,2,1e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
75,83,5,1e-07,2,1.2413808776112847e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
76,84,5,1e-07,2,6.516993025796503e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
77,85,5,0.05,2,9.847301457653844e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
78,86,5,0.0012888189809605257,2,8.107347461850766e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
79,128,5,1e-07,2,9.207717556184119e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
80,129,5,0.0019609636468065285,2,7.745099410773012e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
81,130,5,1e-07,2,2.2193886979674268e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
82,131,5,0.001347814592381316,2,3.686254176792033e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
83,132,5,0.002918162377094435,2,8.086933226555767e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
84,133,5,1e-07,2,4.048045175411782e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
85,134,5,1e-07,2,1.7083853760306313e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
86,135,5,0.00019335206814756784,2,1.5419302241235375e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
87,88,5,8.786061566985169e-05,2,1.2805737808575055e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
88,93,5,1e-07,2,1.570161011861663e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
89,94,5,0.0001700043693826452,2,5.908151188953319e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
90,99,5,1e-07,2,4.731561429671495e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
91,101,5,0.05,2,7.084017540478153e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
92,102,5,0.05,2,1.0018158481546023e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
93,103,5,0.000133375794895117,2,2.9586334866970403e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
94,120,5,1.7013390184263426e-06,2,4.2244170929459183e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
95,121,5,1e-07,2,8.35196563674298e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
96,122,5,1e-07,2,1e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
97,123,5,0.0008145774289787089,2,3.959580421048497e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
98,124,5,0.00039160544785859716,2,6.0203818371367376e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
99,125,5,2.2987129452495833e-06,2,3.499911920735809e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
100,126,5,0.05,2,1e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
101,127,5,0.05,2,2.6908861628857374e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
102,104,5,0.05,2,3.2099131217574584e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
103,106,5,1e-07,2,3.2631579539017145e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
104,107,5,1e-07,2,2.0719177637766167e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
105,108,5,1.694174834669074e-05,2,1.0891205352154777e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
106,109,5,0.00015140568428603532,2,3.209192203555338e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
107,110,5,1.767270104473848e-07,2,5.3849216361498164e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
108,111,5,0.01183677596730335,2,1.3031379601500708e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
109,113,5,0.05,2,1.6087594801786777e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
110,114,5,7.239830550066003e-06,2,8.439258153990458e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
111,115,5,0.0001384898001471823,2,2.0344572480623646e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
112,116,5,0.05,2,7.172828983581861e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
113,117,5,4.631959668680402e-06,2,1.1864688910812144e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
114,118,5,0.04999999999999994,2,1.31227816938506e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
115,119,5,0.05,2,6.082524101830684e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
116,192,5,0.0013300670781650303,2,1.8467952144442315e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
117,193,5,0.00018221429540129,2,9.355739696750213e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
118,194,5,2.3614796345414167e-07,2,5.024235972917155e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
119,195,5,3.214688705071972e-06,2,2.8927411842810965e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
120,196,5,0.015622581575425478,2,6.0005024160319435e-05,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
121,197,5,0.006532579790351232,2,4.885576467618466e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
122,198,5,0.05,2,1e-07,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
123,199,5,0.008722348686896905,2,8.843058935662714e-06,mse,auto,False,0.7980180229289644,r2_score,maximize,0.8948731186112213,
124,105,5,1e-07,2,1.4569249319622583e-06,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
125,18,5,8.012436305737279e-05,2,1e-07,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
126,80,5,0.05,2,9.54628394719764e-07,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
127,72,5,1e-07,2,4.014571914976853e-06,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
128,73,5,1e-07,2,2.1396637714466853e-07,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
129,100,5,0.05,2,4.665594168902341e-05,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
130,66,5,0.0002826823245446459,2,6.9856156391495896e-06,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
131,61,5,1e-07,2,1e-07,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
132,24,5,1e-07,2,1.311121141875077e-05,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
133,25,5,0.05,2,8.717261703983101e-05,mae,auto,False,0.8036096009625625,r2_score,maximize,0.8945844257595491,
134,38,5,1e-07,2,6.138597734044572e-07,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
135,36,5,6.272008008070947e-05,2,4.2486597610990716e-05,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
136,65,5,1e-07,2,7.847865050258141e-05,mae,auto,False,0.8036096009625625,r2_score,maximize,0.8945844257595491,
137,76,5,3.6845848785973605e-05,2,0.00011408541521558223,mae,auto,False,0.8036096009625625,r2_score,maximize,0.8945844257595491,
138,112,5,0.05,2,1.722918064045068e-07,mae,auto,False,0.8041121342905806,r2_score,maximize,0.8945844257595491,
